eight ball	1/8 ounce of cocaine
atshitshi	marijuana
aunt	powder cocaine
aunt hazel	heroin
aunt mary	marijuana
aunt nora	cocaine
aunti	opium
aunti emma	opium
aurora borealis	pcp
author	doctor who writes illegal prescriptions
b	amount of marijuana to fill a matchbox
b-40	cigar laced with marijuana and dipped in malt liquor
b-bombs	amphetamines
B.G. 	 young gangster (stands for baby gangstger)
B/K 	 Blood Killer
babe	drug used for detoxification
baby	cocaine
baby	marijuana
baby bhang	marijuana
baby gangster	young member about 9 to 12 years old
baby habit	occasional use of drugs
baby t	crack cocaine
babylon 	 the power structure; the police
babysit	guide someone through drug experience
babysitter	marijuana
back breakers	lsd and strychnine
back dex	amphetamine
back door	residue left in a pipe
back jack	injecting opium
back to back	smoking crack after injecting heroin
backtrack	bloodflow back into a needle 
backup	to prepare a vein for injection
backwards	depressants
bad bundle	inferior quality heroin
bad go	bad reaction to a drug
bad seed	marijuana combined with peyote
badrock	crack cocaine
bag	container for drugs
bag bride	crack-smoking prostitute
bag man	person who transports money
bagging	using inhalants
bait 	  drawing attention to
baiting things up 	  drawing attention to
baked	high on marijuana
baker	person who smokes marijuana
baker	materials needed to freebase cocaine
bale	marijuana
ball 	 3.50 grams / 1/8 oz
baller	gang member making money, high roller
baller 	 gang member making money 
ballin’ 	 having it all
balling	vaginally implanted cocaine
balloon	heroin supplier
ballot	heroin
bam	amphetamine
bamba	marijuana
bambalacha	marijuana
bambita	desoxyn or amphetamine derivative
bambs	depresants
bammies	a poor quality of marijuana
bammy	marijuana
banana split	combination of 2c-b (nexus) with other illicit substances
banano	marijuana or tobacco cigarettes laced with cocaine
bang	inhalants
bang 	  to fight
banger 	 a gang member', ' someone associated with gangs and murder
bangin	short for gang banging
banging	under the influence of drugs
banging 	  gang activities; fighting or violence
bank bandit pills	depressants
bar	marijuana
barb	depressants
barbies	depressants
barbs	cocaine
barnyard hay	poor quality weed
barr	codeine cough syrup
barrels	lsd
barrio	neighborhood
bars	heroin mixed with alprazolam
bart simpson	heroin
basa	crack cocaine
base 	 specific location used by a criminal street gang for meetings
base crazies	searching on hands and knees for cocaine or crack
base head	a person who bases
baseball	crack cocaine
based out	to have lost control over basing
bash	marijuana
basing	crack cocaine
basuco	cocaine
bathtub crank	poor quality methamphetamine
bathtub speed	methcathinone
batman	cocaine
batman	mixing cocaine and heroin
batmans	mdma
batt	iv needle
batted out	apprehended by law
battery acid	lsd
batu	smokable methamphetamine
bazooka	combination of crack and marijuana
bazulco	cocaine
bc bud	marijuana from british columbia
bdmpea	nexus
be down 	 member in good standing
beakage 	  express a story / information by word of mouth (beak refers to mouth)
beaksing	 providing crime information to police
beam	cocaine
beam me up scottie	cocaine (powder or crack) combined with pcp
beam me up scotty	pcp and crack
beamer	crack smoker
beamers	crack cocaine
bean	a capsule containing drugs
beannies	methamphetamine
beans	mescaline
beast	heroin plus lsd
beast 	 police
beat	crack cocaine
beat 	  shooting
beat artist	person selling bogus drugs
beat grains 	  act of shooting
beat in	gang initiation
beat in 	 initiation ritual where a recruit must fight a number of gang members
beat it	  act of discharging a firearm / shooting
beat off	  shooting
beat one 	  one shot from a firearm
beat vials	viles containing sham crack to cheat buyers
beaten out 	  to be released from a group
beating it up 	  act of discharging a firearm / shooting
beautiful boulders	crack cocaine
beavis & butthead	lsd
bebe	crack cocaine
bed bugs	fellow addicts
bedbugs	fellow addicts
bedtime	  to murder
bedtime story 	  to murder
beedies	cigarettes from india (resemble marijuana joints/vehicle for other drugs)
beef 	 crime; infraction; argument 
beemers	crack cocaine
behind the scale	to weigh and sell cocaine
beiging	chemicals altering cocaine to make it appear a higher purity
belladonna	pcp
belt	effects of drugs
belted	under the influence of a drug
belushi	combination of cocaine and heroin
belyando spruce	marijuana
bender	drug party
bennie	amphetamine
bennies	amphetamines
bens	amphetamine
benz	amphetamine
benzedrine	amphetamine
benzidrine	amphetamine
beretta 	 brand name beretta firearm
bermuda triangles	mdma
bernice	cocaine
bernie	cocaine
bernie's flakes	cocaine
bernie's gold dust	cocaine
better stand 	  advising crew they must stand up and rise to whatever
bg	baby gangster
bgd	black gangster disciples, Chicago folk
bgf	black guerillfamilia
bhang	marijuana, indian term
bible	gangs book of knowledge
bibs	mdma 
bickie	ecstacy
big	 members of criminal street gangs that have seniority
big 8	1/8 kilogram crack
big bag	heroin
big bloke	cocaine
big c	cocaine
big d	lsd
big doodig	heroin
big flake	cocaine
big h	heroin
big harry	heroin
big man	drug supplier
big mens	 senior or ranking members of a criminal street gangs
big o	opium
big rush	cocaine
big things 	 large calibre i.e. 45 cal or 357 cal
bigger mans 	 members of criminal street gangs that have seniority
biggest shoe 	 largest calibre firearm
bikers coffee	methamphetamine and coffee
bill blass	crack cocaine
billie hoke	cocaine
bills	 units of money in $100’s
bin laden	heroin (after september 11)
bindle	small packet of drug powder
bing	enough drug for one injection
bingers	crack addicts
bingo	to inject a drug
bings	crack cocaine
binky	pornography
biphetamine	amphetamine
bipping	snorting heroin and cocaine
bird 	 a unliked person because of immature behaviour 
bird 	 desert eagle firearm
bird 	 package cocaine (usually one bird = 1 kilogram of cocaine)
birdhead	lsd
birdie powder	heroin
biscuit	a firearm
bitch 	specific firearms
bite	getting arrested
bite one's lips	to smoke marijuana
biz	bag or portion of drugs
bizzaze	 an individual’s house / home / residence
bj's	crack cocaine
bjs	crack cocaine
bk 	blood killers
bks	blood killers
black acid	lsd
black and white	amphetamine
black bart	marijuana
black beauties	amphetamine
black beauty	methamphetamine
black birds	amphetamine
black bombers	amphetamine
black cadillacs	amphetamine
black dust	pcp
black eagle	heroin
black ganga	marijuana resin
black gold	high potency marijuana
black grandma	back tar heroin
black guerilla family	black california prison gang
black gungi	marijuana from india
black gunion	marijuana
black hash	opium mixed with hashish
black hole	the depressant high associated with ketamine
black mo/black moat	highly potent marijuana
black mollies	amphetamine
black mote	marijuana mixed with honey
black on red	earned when persons performs oral sex on black female who is menstruating
black pearl	heroin
black pill	opium pill
black rock	crack cocaine
black russian	opium mixed with hashish
black star	lsd
black stuff	opium
black sunshine	lsd
black tabs	lsd
black tar	heroin
black whack	pcp
black wings	represents that member has orally copulated black females genitals
blade	crystal methamphetamine
blanca	cocaine
blanco	heroin plus cocaine
blank	container of nonnarcotic powder that is sold as heroin
blanket	marijuana cigarette
blanks	low quality drugs
blast	smoke crack
blast a joint	to smoke marijuana
blast a roach	to smoke marijuana
blast a stick	to smoke marijuana
blasted	under the influence of drugs
blaxing	smoking marijuana
blaze	to smoke marijuana
blazing	smoking marijuana
bleeding	to recruit or make more gang members for bloods or united blood nation sects
bling bling	methamphetamine
blizzard	a white cloud in a pipe used to smoke cocaine
blizzock 	 block
blob	disrespectful name for blood gang member
block	marijuana
block 	 specific location used by a criminal street gang for meetings
block busters	depressants
blonde	marijuana
blotter	crack cocaine
blotter acid	pcp
blotter cube	lsd
blow	inhale cocaine or to inject heroin
blow a fix/blow a shot	injection misses the vein and is wasted in the skin
blow a stick	to smoke marijuana
blow blue	to inhale cocaine
blow coke	to inhale cocaine
blow one's roof	to smoke marijuana
blow smoke	to inhale cocaine
blow the vein	to inject a drug
blow up	crack cut with lidocaine to increase size, weight, and street value
blow your mind	get high on hallucinogens
blowcaine	crack diluted with procaine
blowing smoke	marijuana
blowout	crack
blows	heroin
blue	depressants
blue acid	lsd
blue angels	depressants
blue bag	heroin
blue barrels	lsd
blue birds	depressants
blue boy	amphetamine
blue bullets	depressants
blue caps	mescaline
blue chairs	lsd
blue cheers	lsd
blue clouds	amytal (amobarbital sodium) capsules
blue de hue	marijuana from vietnam
blue devil	depressants
blue devils	methamphetamine
blue dolls	depressants
blue heaven	lsd
blue heavens	depressants
blue ice	methamphetamine
blue kisses	mdma
blue lips	mdma
blue madman	pcp
blue magic	heroin
blue meth	methamphetamine
blue microdot	lsd
blue mist	lsd
blue mollies	amphetamine
blue moons	lsd
blue nile	mdma
blue nitro vitality	gbl-containing product
blue sage	marijuana
blue sky blond	high potency marijuna from colombia
blue star	heroin
blue tips	depressants
blue vials	lsd
blue wings	earned when member has orally copulated female law enforcement officer's genital area
blunt	marijuana inside a cigar
bo	marijuana
bo-bo	marijuana
boat	1000 pills of ecstasy
boat	pcp
bob hope	dope-cannabis
bobby brown	heroin
bobo	crack cocaine
bobo bush	marijuana
body-packer	individual who ingests wrapped packets of crack or cocaine to transport
body-stuffer	individual who ingests crack vials to avoid prosecution
bogart a joint	salivate on a marijuana cigarette
bohd	pcp
bolasterone	injectable steroids
bolivian marching powder	cocaine
bollo	crack cocaine
bolo	crack cocaine
bolt	amphetamine
bomb	high potency heroin
bomb squad	name of crack-selling crew
bomber	marijuana cigarette
bombido	injectable amphetamine
bombita	heroin plus amphetamine
bombs away	heroin
bone	$50 piece of crack
bonecrusher	crack cocaine
bones	crack cocaine
bong	pipe used to smoke marijuana
bonita	heroin
boo	methamphetamine
boo boo bama	marijuana
booked	  getting arrested
books	money
boom	marijuana
boom	mushrooms
boomers	mushrooms
boomers	psilocybin
boost	to inject a drug
boost and shoot	steal to support a habit
booster	to inhale cocaine
boot	to inject a drug
boot the gong	to smoke marijuana
booted	under the influence of drugs
booze	alcohol
bopper	crack cocaine
boppers	amyl nitrite
bos	brothers of struggle
botray	crack cocaine
bottles	crack vials
boubou	crack cocaine
boulder	crack cocaine
boulya	crack cocaine
bouncing powder	cocaine
box 	  the action of striking or assaulting
box labs	small, mobile, clandestine labs used to produce methamphetamine
boxed	in jail
boxes 	 box of ammunition
boy	cocaine
boy 	 police
boy dem	 police (derogatory term)
boy them 	 police (derogatory term)
boy-girl	heroin mixed with cocaine
bozo	heroin
brain damage	heroin
brain pills	amphetamines
brain ticklers	amphetamine
brand	member of aryan brotherhood
brand new sweater 	 good quality bullet proof vest
brand new thing 	 firearm
brea	heroin
bread	money
break night	staying up all night on a cocaine binge until daybreak
breakdown	$40 of crack cocaine that can be broken down into $20 packages
brewery	place where drugs are made
brick	carton of cigarettes
brick	crack cocaine
brick 	 kilogram of cocaine
brick gum	heroin
bridge or bring up	ready a vein for injection
britton	peyote
broccoli	marijuana
broja	heroin
broker	go between in a drug deal
bromo	nexus
brown	heroin
brown bombers	lsd
brown crystal	heroin
brown dots	lsd
brown girl 	 browning firearm
brown rhine	heroin
brown skin	 browning firearm
brown sugar	heroin
brown tape	heroin
brown wings,	earned when member has orally copulated female's anal opening
brownies	amphetamine
browning	 browning firearm
browns	amphetamine
browns	 browning firearm
bta	bout that action
btk	born to kill
bubble gum	cocaine
bubbler	bong
buck	shoot someone in the head
buck fifty	slash injury causing 150 stitches
bud	marijuana
buda	marijuana
buddha	potent marijuana spiked with opium
buffer	a woman who performs oral sex in exchange for crack
bugged	irritated
bugle	cocaine
building 	 bill (hundred)
buildings 	 units of money in $100’s
bull	narcotics agent or police officer
bull dog	heroin
bulladine	marijuana
bullet	isobutyl nitrite
bullet bolt	inhalants
bullia capital	crack
bullion	crack cocaine
bullyon	marijuana
bumblebees	amphetamine
bummer trip	unsettling and threatening experience from pcp intoxication
bummy 	 feeling upset / angry i.e. bummed out
bump	crack
bump up	use of cocaine to bolstermdma 
bumper	crack cocaine
bumping up	mdma combined with powder cocaine
bundle	heroin
bunk	fake cocaine
burese	cocaine
burn one	to smoke marijuana
burn the main line	to inject a drug
burn transaction	selling a substance as a certain drug
burned	purchase fake drugs
burned out	collapse of veins from repeated injections
burner 	 firearm
burnese	cocaine
burnie	marijuana
burnout	heavy abuser of drugs
Burr Gang	known youth gang in Ontario
bush	marijuana
businessman's lsd	dimethyltryptamine
businessman's special	dimethyltryptamine
businessman's trip	dimethyltryptamine
bussing	  firing shots
bust	  to shoot (bust off) 
bust up 	  to shoot (bust off) 
busted	arrested
busters	depressants
busy bee	pcp
butler	crack cocaine
butt 	 butt of a firearm
butt naked	pcp
butter	marijuana
butter flower	marijuana
buttons	mescaline
butu	heroin
buzz	under the influence of drugs
buzz bomb	nitrous oxide
c	cocaine
c & m	cocaine and morphine
c joint	place where cocaine is sold
c-dust	cocaine
c-game	cocaine
c/	Nuestra familigang member
caballo	heroin
cabbage head	an individual who will use or experiment with any kind of drug
cabello	cocaine
caca	heroin
cactus	mescaline
cactus buttons	mescaline
cactus head	mescaline
cad/cadillac	1 ounce
cadillac	cocaine
cadillac express	methcathinone
cafeteria use	use of various drugs simultaneously, particularly sedatives or hypnotics
cafeteria-style use	using a combination of different club drugs
caine	cocaine
cakes	round discs of crack
calbo	heroin
california cornflakes	cocaine
california sunshine	lsd
calling out	 providing crime information to police
cam trip	high potency marijuana
cambodian red	marijuana from cambodia
came	cocaine
canade	heroin/marijuana combination
canadian black	marijuana
canamo	marijuana
canappa	marijuana
cancelled stick	marijuana cigarette
candy	cocaine
candy blunt	blunts dipped in cough syrup
candy c	cocaine
candy flipping on a string	combining or sequencing lsd withmdma
candy raver	young people who attend raves
candy sticks	marijuana cigarettes laced with powdered cocaine
candy sugar	powder cocaine
candy-flipping	lsd mixed with ecstasy
candyman	drug supplier
cannabinol	pcp
cannabis tea	marijuana
cap	crack cocaine
cap up	transfer bulk form drugs to capsules
capital h	heroin
caps	heroin
capsula	crack cocaine
captain cody	codeine
carburetor	crack stem attachment
care bears	mdma
carga	heroin
carmabis	marijuana
carne	heroin
carnie	cocaine
carpet patrol	crack smokers searching the floor for crack
carrie	cocaine
carrie nation	cocaine
carry	to be in possession of drugs
carrying weight 	  trafficking a large amount of drugs
carrying weight 	  trafficking a large volume of drugs
cartucho	package of marijuana cigarettes
cartwheels	amphetamine
casper	crack cocaine
casper the ghost	crack cocaine
cassette 	 firearm
cat	methcathinone
cat in the hats	mdma
cat killer	ketamine
cat valium	ketamine
catch play	drug deal
catnip	marijuana cigarette
caviar	combination of cocaine and marijuana
cavite all star	marijuana
ccane	cocaine
ccc's	cortison cough and cold
ccn	crazy crip nation
cd 	 firearm
cds	crack cocaine
cecil	cocaine
cess 	 marijuana
cest	marijuana
chalk	crack cocaine
chalked up	under the influence of cocaine
chalking	chemically altering the colour of cocaine so it looks white
champagne	combination of cocaine and marijuana
chandoo/chandu	opium
chang	cocaine
channel	vein into which a drug is injected
channel swimmer	one who injects heroin
chapopote	heroin
charas	marijuana from india
charged up	under the influence of drugs
charger 	 ammunition or a clip
charity	mdma
charley	heroin
charlie	cocaine
charlie brown	brown heroin
chase	to smoke cocaine
chaser	compulsive crack user
chasing the dragon	crack mixed with heroin
chasing the tiger	to smoke heroin
chatarra	heroin
cheap basing	crack
checked in	transfer into protective custody
cheeba	marijuana
cheeo	marijuana
cheese 	money
chef up 	process to form crack cocaine
chemical	crack cocaine
chemo	marijuana
cherry meth	gamma hydroxybutyrate (ghb)
chewies	crack cocaine
chiba	heroin
chiba chiba	high potency marijuana from colombia
chicago black	marijuana, term from chicago
chicago green	marijuana
chicken	 small quantities
chicken feed	methamphetamine
chicken powder	amphetamine
chicken scratch	searching on hands and knees for crack or cocaine
chicle	heroin
chief	lsd
chiefing	to smoke marijuana
chieva	heroin
chillum	an object used to smoke opium, hashish, and marijuana
china cat	high potency heroin
china girl	fentanyl
china town	fentanyl
china white	heroin plus fentanyl
chinese molasses	opium
chinese red	heroin
chinese tobacco	opium
ching	cocaine
chip	heroin
chipper	occasional user
chippin	  selling crack cocaine
chippin off 	  selling crack cocaine
chipping	using drugs occasionally
chippy	cocaine
chips	tobacco or marijuana cigarettes laced with pcp
chira	marijuana
chirping	 providing crime information to police
chiva	heroin
choco-fan	heroin
chocolate	marijuana
chocolate chip cookies	mdma combined with heroin or methadone
chocolate chips	lsd
chocolate ecstasy	crack made brown by adding chocolate milk during production
chocolate rock	crack smoked together with heroin
chocolate thai	marijuana
choe	cocaine
cholly	cocaine
choof	marijuana
chop 	  sale of material goods', ' or drugs
choppin 	  selling crack cocaine
chops 	  selling crack cocaine
chorals	depressants
chowder	cocaine
christina	amphetamine
christinaguilera	powder cocaine (soft white girl)
christmas bud	marijuana
christmas rolls	depressants
christmas tree	marijuana
christmas tree meth	green methamphetamine produced using drano crystals
chrome	crystal methamphetamine
chron	marijuana
chron 	 chronic drugs
chronic	marijuana
chronic 	 mixture of cocaine and hydroponic marijuana
chrystal methadrine	mdma
chucks	hunger following withdrawal from heroin
chunky	marijuana
churus	marijuana
cid	lsd
cigamos	combination of crack cocaine and tobacco
cigarette paper	packet of heroin
cigarrode cristal	pcp
cinnamon	methamphetamine
cip	crip in peace
circles	rohypnol
citrol	high potency marijuana, from nepal
cj	pcp
ck	crip killer
clam bake	sitting inside a car or other small, enclosed space and smoking marijuana
clapping 	  shooting a firearm
clarity	mdma
clear	methamphetamine
clear up	stop drug use
clicker	crack mixed with pcp
clickums	a marijuana cigarette laced with pcp
cliffhanger	pcp
climax	crack
climb	marijuana cigarette
clips	rows of vials heat-sealed together
clique 	 a smaller group within a larger criminal street gang also known as a crew
clizzip 	 clip or magazine for a firearm
clizzy	 clip or magazine for a firearm
clocker	entry level crack dealers who sell drugs 24 hours a day
clocking paper	profits from selling drugs
closet baser	user of crack who prefers anonymity
cloud nine	crack cocaine
cluck	crack smoker
cluckers	middlemen who facilitate the connection between buyers and sellers
co-pilot	amphetamine
coasting	under the influence of drugs
coasts to coasts	amphetamine
coca	cocaine
cocaine blues	depression after extended cocaine use
cochornis	marijuana
cocked the machine 	  the action of exposing a firearm to be fired
cocktail	combination of crack and marijuana
coco rocks	dark brown crack made by adding chocolate pudding during production
coco snow	benzocaine used as cutting agent for crack
cocoa puff	to smoke cocaine and marijuana
cocofan	brown tar heroin
coconut	cocaine
cod	large amount of money
code red	blood up its time to go to war
coke bar	a bar where cocaine is openly used
cokehead	cocaine user
cola	cocaine
colas	marijuana
cold turkey	sudden withdrawal from drugs
coli	marijuana
coliflor tostao	marijuana
colombian	marijuana
colorado cocktail	marijuana
columbo	pcp
columbus black	marijuana
combol	cocaine
come home	"end a ""trip"" from lsd"
come on road 	  go outside in the street
comeback	benzocaine and mannitol used to adulterate cocaine for conversion to crack
comic book	lysergic acid diethylamide (lsd)
conductor	lsd
connect	purchase drugs
connie	powder cocaine
contact lens	lsd
cook	drug manufacturer
cook	  process to form crack cocaine
cook down	process in which users liquefy heroin in order to inhale it
cooker	to inject a drug
cookies	crack cocaine
cooking up	to process powdered cocaine into crack
cooler	cigarette laced with a drug
coolie	cigarette laced with cocaine
cop	  purchase or buy something
cop it 	  purchase or buy something
copper heads 	 copper tipped bullets
copper tip 	 ammunition
copping it	  purchase or buy something
copping zones	specific areas where buyers can purchase drugs
coral	depressant
coriander seeds	cash
cork the air	to inhale cocaine
corn 	crack kernels
corrine	cocaine
corrinne	cocaine
cory	cocaine
cosa	marijuana
cotics	heroin
coties	codeine
cotton	currency
cotton brothers	cocaine, heroin and morphine
cotton fever	critically high temperature associated with accidentally injecting cotton fibres into blood stream
courage pills	heroin
course note	bill larger than $2
cousin tina	crystal myth
cozmo's	pcp
cr	methamphetamine
crab	disrespectful name for crip gang member
crack attack	craving for crack
crack back	marijuana and crack
crack bash	combination of crack cocaine and marijuana
crack cooler	crack soaked in wine cooler
crack gallery	place where crack is bought and sold
crack house	place where crack is used
crack kits	glass pipe and copper mesh
crack spot	area where people can purchase crack
crack-in-the-box	busy gas station where drug transaction traffic is not unusual
cracker	derogatory name for white person
cracker jack	crack smoker
cracker jacks	crack smokers
crackers	lsd
crangbustin	chewing tobacco with heroin
crank	crack cocaine
cranking up	to inject a drug
crankster	someone who uses or manufactures methamphetamine
crap	low quality heroin
crash	sleep off effects of drugs
crazy coke	pcp
crazy eddie	pcp
crazy weed	marijuana
crck	crack
credit card	crack stem
cresant roll	marijuana laced with cocaine
crew 	 members of a criminal street gang
crib	crack cocaine
crib 	 an individual’s house / home / residence
crimmie	cigarette laced with crack
cringe	methamphetamine
crink	methamphetamine
crippin'	to be doing crip gang activity
cripple	marijuana cigarette
cris	methamphetamine
criss 	 everything is fine
crisscrossing	setting up a line of cocaine next to a line of heroin
cristal	mdma
cristina	methamphetamine
cristy	smokable methamphetamine
croak	cocaine mixed with methamphetamine
cron	marijuana
cronic	marijuana
crop	low quality heroin
cross tops	amphetamine
crossles	methamphetamine
crossroads	amphetamine
crown crap	heroin
crumbs	tiny pieces of crack
crunch and munch	crack cocaine
crush and rush	method of methamphetamine production
cruz	opium from veracruz, mexico
crying weed	marijuana
cryppie	marijuana
crypto	methamphetamine
cryptonie	marijuana
crystal	cocaine
crystal glass	crystal shards of methamphetamine
crystal joint	pcp
crystal meth	methamphetamine
crystal methadrine	amphetamine
crystal t	pcp
crystal tea	lsd
cs	marijuana
cuban 	 quarter pound of drugs
cube	lsd
cubes	marijuana tablets
culican	high potency marijuana from mexico
cupcakes	lsd
cura	heroin
cushion	vein into which a drug is injected
custie 	 drug customer
custo	customer
custy 	 a customer
cut	adulterate drugs
cut-deck	heroin mixed with powdered milk
cuz	friendly name used between crip gang member
cycline	pcp
cyclones	pcp
d	lsd
d low 	 down low information keep quiet or close to particular group / people
d.t. 	 downtown
d’ees 	 detectives
dabble	use drugs occasionally
dagga	marijuana from south africa
dama blanca	cocaine
dance fever	fentanyl
dank	marijuana
dart	syringe
darts	needles
dawamesk	marijuana
dead on arrival	heroin
dead president	heroin
dead road	mdma
deal with his case 	  delivering a penalty for an infraction
debs	amphetamine
deca-duabolin	injectable steroids
decadence	mdma
deck	1 to 15 grams of heroin, also known as a bag
deeda	lsd
deego 	 $10 worth of drugs
deeks 	 dimes = $10
deisel	heroin
delatestryl	injectable steroids
demo	crack stem
demolish	crack
dep-testosterone	injectable steroids
desocsins	methamphetamine
desogtion	methamphetamine
det	dimethyltryptamine
detroit pink	pcp
deuce	term for k2 or other synthetic cannabanoid
deuce	heroin
deuce deuce 	.22 cal
deucy 	.22 cal
devil drug	crack cocaine
devil's bush	marijuana
devil's dandruff	crack cocaine
devil's dick	crack pipe
devil's dust	pcp
devilsmoke	crack cocaine
dew	marijuana
dews	$10 worth of drugs
dex	amphetamine
dexedrine	amphetamine
dexies	amphetamine
dfa	down for action
diablito	combination of crack cocaine and marijuana in a joint
diambista	marijuana
diamond folds	folded paper used to package drugs
diamonds	amphetamines
dianabol	veterinary steroids
dice	crack cocaine
dicks 	 police 
diesel	heroin
diet pills	amphetamine
dihydrolone	injectable steroids
dimba	marijuana from west africa
dime	$10 worth of marijuana
dime bag	$10 worth of drugs
dime special	crack cocaine
dime's worth	amount of heroin to cause death
dimebag	$10 worth of marijuana
ding	marijuana
dinkie dow	marijuana
dinosaurs	populations of heroin users in their forties and fifties
dip	crack cocaine
dip 	  to leave or get out
dipped joints	marijuana combined with pcp and formaldehyde
dipper	pcp
dipping out	crack runners taking a portion of crack from vials
dips	marijuana joints dipped in pcp (phencyclidine)
dipset 	  to leave or get out
dirt grass	inferior quality marijuana
dirties	marijuana cigarettes with powder cocaine added to them
dirty 	 criminal acts
dirty 	 illegal items usually firearms
dirty basing	crack cocaine
dirty dirt	heroin
dirty joints	combination of crack cocaine and marijuana
disciples	gangs that make up folk nation
disco biscuit	depressants
disco biscuits	depressants
disco pellets	stimulant
discorama	inhalants
disease	drug of choice
ditch	marijuana
ditch weed	inferior quality marijuana
diviner's sage	salvia divinorum
djamba	marijuana
dmt	dimethyltryptamine
do a joint	marijuana
do a line	to inhale cocaine
do it jack	pcp
Do Me	respect myself
doa	crack
doctor	mdma
doctor shopping	the practice of going from doctor to doctor to obtain prescriptions for pharmaceuticals
dodo	marijuana
dody	marijuana
dog	good friend
dog food	slang for heroin
dog food	heroin
dogie	heroin
dolla boy	weed/crack dealer
dollar	$100 worth of drugs
dolls	amphetamines
domes	lsd
domestic	locally grown marijuana
domex	pcp andmdma
dominican knot	the torn and knotted corner of a baggie containing drugs
dominoes	amphetamine
don jem	marijuana
don juan	marijuana
dona juana	marijuana
dona juanita	marijuana
done	methadone
donk	marijuana/pcp combination
donkey	ketamine
donnie brasco	undercover officer
doo rag	bandanor handkerchief wrapped around head
doob	marijuana
doobee	marijuana
doobie	marijuana cigarette
dubbe	marijuana
duby	marijuana
doobie	marijuana
dugie	heroin
doojee	heroin
doogie	heroin
dooley	heroin
doosey	heroin
dope	marijuana
dope fiend	a person who is drug dependent
dope smoke	to smoke marijuana
dopium	opium
doradilla	marijuana
dors and 4's	combination of doriden and tylenol 4
dose	lsd
doses	lsd
dosure	lysergic acid diethylamide
dots	lsd
doub	$20 rock of crack
double breasted dealing	dealing cocaine and heroin together
double bubble	cocaine
double cross	amphetamine
double dome	lsd
double four 	 .44 cal
double rock	crack diluted in procaine
double trouble	depressants
double up	when a crack dealer delivers an extra rock as a marketing ploy to attract customers
double ups	a $20 rock that can be broken into two $20 rocks
double yoke	crack cocaine
dove	$35 piece of crack
dover's deck	opium
dover's powder	opium
downie	depressants
dr feelgood	heroin
draf	marijuana
draf weed	marijuana
drag weed	marijuana
dragon rock	mixture of heroin and crack
drama 	 story
drapes 	  the action of confronting another with aggression 
draw up	to inject a drug
dream	cocaine
dream gun	opium
dream stick	opium
dreamer	morphine
dreams	opium
dreck	heroin
drill	 firearm
drink	pcp
drinking milk	targeting or killing a rival (Crips)
drivers	amphetamine
drizzo	 hydroponic drugs
dro 	 hydroponic marijuana
drop	to ingest drugs
dropper	to inject a drug
dropping	wrapping methamphetamine in bread and then consuming it
dropping dimes 	  providing information to the police
drought	decrease in drug availability
drowsy high	depressants
dry high	marijuana
dry up	to inject drugs
dub	$20 of drugs
dub	$20 worth of marijuana
dub	delivering an extra rock to attract customers
dube	marijuana
duby	marijuana
ducats 	 money
duct	cocaine
duji	heroin
dummy 	 malfunctioning / broken firearm
dummy dust	pcp
dump	to vomit after taking drugs
durabolin	injectable steroids
durong	marijuana
duros	marijuana
dust blunt	marijuana/pcp combination
